feature,importance,importance_std,rank
V_MFCC_Mean_4,0.005059465570171359,0.0024176274713309963,68
V_LFCC_Mean_7,0.005052682319247668,0.002626166125220367,69
V_MFCC_Mean_2,0.005039377834487227,0.002556168909987156,70
V_LFCC_Mean_9,0.00502685550282304,0.0025440584426622806,71
V_LPCC_Mean_10,0.00496624726575542,0.0023721335111133008,72
V_HarmonicRichness,0.004908448035254869,0.0020737263730459484,73
V_LPCGain_Std,0.004890572980933077,0.002425377870610408,74
V_LFCC_Mean_8,0.004850589676021771,0.0026198108539310146,75
V_MFCC_Std_10,0.004816413914830774,0.002264064334281002,76
V_LFCC_Mean_4,0.004803672941586079,0.0023386120328089707,77
V_LFCC_Mean_5,0.004785696742753254,0.002132611906015674,78
V_MFCC_Mean_5,0.004779111946358062,0.0021237760401797514,79
V_AlphaRatio,0.004768469335927665,0.0025747120264793684,80
V_LPCGain_Range,0.0047544882144691745,0.002901439882642505,81
V_SpectralTilt,0.004738341214877411,0.002394621884286426,82
V_LSF_Mean_10,0.004731384570248689,0.0021674342392861423,83
V_ArticulationRate,0.004691589244891378,0.0023954822620269062,84
V_LPCC_Mean_11,0.004686628074934147,0.002083231091772581,85
V_LSF_Mean_8,0.004685416767516891,0.0021317152270916647,86
V_MFCC_Std_12,0.004632186405191228,0.002153961901866829,87
V_SpectralEntropy_Mean,0.00459178669152147,0.0026034208172558077,88
V_MFCC_Mean_6,0.004590275913815064,0.00215232919724779,89
V_LTAS_4000_8000,0.004577147537895092,0.0024885425677565924,90
V_LFCC_Mean_13,0.004539450403500802,0.0022529889193830793,91
V_FormantCentralization,0.004498533325299988,0.0021552179394971715,92
V_MFCC_Std_11,0.004474543912647502,0.002188212645867442,93
V_LAR_6,0.004395242607478434,0.0020567182669977606,94
V_F1F2_Corr,0.004392011049511206,0.0024296733043836613,95
V_LAR_2,0.004391724362985811,0.0022074695105490736,96
V_RC_4,0.004369986495620874,0.0019470279948303345,97
V_LSF_Mean_11,0.0043590626321355335,0.002131248761654589,98
V_RC_8,0.004329143274606396,0.0019064098635199545,99
V_LSF_Mean_1,0.0043284155177378695,0.0021980090796476924,100
V_RC_1,0.004308150382848572,0.0023488660241183846,101
V_LTAS_MidHighRatio,0.004297120571914673,0.0019106733124745182,102
V_MFCC_Mean_12,0.004292736081377836,0.0019552876054334035,103
V_LTAS_LowMidRatio,0.00428483827764518,0.0022603676872606287,104
V_MFCC_Std_9,0.00426833002860082,0.002032046965493561,105
V_LTFD_Kurtosis,0.004267196983246591,0.001832923299611246,106
V_MFCC_Mean_9,0.004259137939334707,0.0018280565617528584,107
V_MFCC_Std_13,0.0042551741953625755,0.002187769860889542,108
V_LAR_1,0.004252886998038145,0.0022819472764262954,109
V_LPCC_Mean_13,0.004248340462540041,0.001956121573642405,110
V_SQ,0.004208166325283801,0.001997382231502447,111
V_MFCC_Mean_3,0.004202036538365386,0.0018753468701964474,112
V_RC_2,0.004184611043120031,0.002094227260045977,113
V_LPCC_Mean_8,0.00416369814080256,0.0018072586494344983,114
V_LSF_Mean_3,0.004139066868730489,0.0020943778978630427,115
V_LSF_Mean_2,0.004133676669967623,0.0021029899777480505,116
V_F3F1_Ratio,0.004130664333298542,0.0021873328087924212,117
V_F2F3_Corr,0.004126092265294875,0.0020425124475312055,118
V_VTL,0.004117786782265028,0.0019097259681924747,119
V_LFCC_Mean_1,0.004100266916540152,0.0018984273371120725,120
V_MFCC_Mean_11,0.004081849713247964,0.0018388160309684581,121
V_LPCC_Mean_9,0.004060106216087399,0.0018611309532973054,122
V_LSF_Mean_5,0.004048574291032684,0.0019433204468446152,123
V_F2F1_Ratio,0.004038231208411284,0.001987864892857266,124
V_MFCC_Mean_7,0.00402431396400628,0.0018005464280980458,125
V_LSF_Mean_7,0.003968992316097076,0.0018387271353829365,126
V_F1F3_Corr,0.003956982596120378,0.0017728134042190643,127
V_F3F2_Ratio,0.003937749289983086,0.0017419018565690586,128
V_MFCC_Mean_1,0.0039287764759357875,0.0019332280353163412,129
V_LPCC_Mean_12,0.0038801813563621866,0.001736771452465798,130
V_LSF_Mean_6,0.0038329156945745755,0.0017857006460903822,131
V_LSF_Mean_4,0.0038282351849947068,0.0018094693011994189,132
V_LTFD_Flatness,0.0037717403458692065,0.0016956013373568433,133
