feature,importance,importance_std,rank
FrameZCR_Hist7,0.0013801092032857257,0.0015449605397179938,324
FrameF0_Kurt,0.0013783851011840082,0.0010320608434526612,325
FrameAC_Mean,0.0013776513193673237,0.0012712962058552696,326
LowToHighEnergyRatio,0.001377336011439868,0.001159925515081433,327
UnvoicedFrameRatio,0.001377163768946854,0.0012628526683613349,328
FrameSFlux_Hist6,0.001375503155253028,0.0012710029374236758,329
FrameMFCCVar_Hist3,0.0013685811152314188,0.0012670007269677387,330
FrameAC_Kurt,0.0013671958503299747,0.001136966423775381,331
FrameGNE_Median,0.0013668952010384206,0.001262631219371026,332
FrameHNR_Hist5,0.001366341902193275,0.001243106653120597,333
FrameSF_Hist2,0.0013646091242308824,0.0012414762732193766,334
FrameSF_Hist3,0.0013618026875951963,0.0012124302137510958,335
FrameSKurt_Hist5,0.0013604390603327817,0.001214306122696641,336
FrameSS_Hist8,0.001360407116534367,0.0014315326255603504,337
FrameZCR_Median,0.0013601424850888074,0.0017982877209246045,338
FrameSE_Hist1,0.0013565365202393466,0.0013054868254697594,339
FrameF0_Hist6,0.001353458344444325,0.001417802391176508,340
FrameZCR_Hist3,0.0013515174284373943,0.0011664652498460427,341
FrequencyWeightedSNR,0.0013501351883408296,0.0034593614153320597,342
FrameSCF_Hist7,0.0013498599361940178,0.0011368124459925349,343
FrameSCF_Hist4,0.001347291662778539,0.0015710436883611923,344
FrameGNE_Kurt,0.0013468656640968594,0.0014424452450693727,345
FrameSF_Hist5,0.0013410737972699017,0.0012729455726736554,346
FrameSCF_Hist6,0.0013397924973059243,0.001525585773385118,347
FrameSCF_Hist5,0.0013396441584831607,0.0013619572513097027,348
FrameSCF_Hist8,0.0013391275409838851,0.0013082290192202232,349
FrameF0_Hist3,0.0013390387576787894,0.0013836857777912801,350
NHR,0.0013386391343717778,0.0012038889619459669,351
FramePC_Hist3,0.0013378395767467677,0.0011339965843483535,352
F1_Mean,0.0013351900364398962,0.0011235259569678546,353
FrameSE_Hist4,0.0013351705144227046,0.0012305172185939602,354
FrameMFCCVar_Kurt,0.0013345659699666877,0.0010711750925020093,355
FrameSE_P95,0.001332818992714474,0.0013868111288894078,356
FramePC_Hist2,0.00132953130411568,0.0011327632871111749,357
FrameF0_Median,0.0013294846618077105,0.0012340548943230052,358
FrameHNR_Hist6,0.0013284942728351008,0.0012118387496558303,359
FrameSS_Hist3,0.0013283687098456754,0.0010645934123413468,360
FrameSF_Hist0,0.0013281113466422625,0.0012715268502598597,361
FrameSHR_Kurt,0.001328108946283404,0.0010287033022356128,362
FrameAC_Hist1,0.001325434777961758,0.0011411164113932994,363
FrameGNE_Hist6,0.001318096843738104,0.0010708115190012169,364
FramePC_Hist5,0.0013141270553180867,0.0012641114995389695,365
FrameSE_IQR,0.001307687750616899,0.001121896268303845,366
FramePC_Median,0.0013076794769883782,0.0022817711094515166,367
FrameSKurt_Hist4,0.001304936367120229,0.0012608680321570449,368
FrameGNE_Skew,0.001301962284523411,0.0016031148324230817,369
FrameSE_Hist8,0.0013010009782052758,0.0012170937322251755,370
FrameSS_Hist9,0.0012966484344865594,0.001224880183086098,371
FrameMFCCVar_Hist6,0.0012960360662860858,0.0010879490720162694,372
FramePC_Hist4,0.001294038679285359,0.0013616989767448922,373
FrameMFCCVar_Hist1,0.0012933634847480838,0.0013841274971003112,374
FrameGNE_P5,0.0012926662216066838,0.0011804882382088348,375
FrameSCF_P5,0.001288296192227073,0.0011250000484210503,376
FrameZCR_Skew,0.0012853675873237724,0.001051431140126753,377
FrameSF_Mean,0.0012817092672659253,0.001253251384686822,378
FrameSF_Kurt,0.0012816133262020326,0.0011579540103841908,379
FrameGNE_Hist8,0.0012785364338549602,0.0010588728168338705,380
MDVP_DVB,0.0012777523298809225,0.0009571852730072772,381
FrameSR_Skew,0.0012777486748144305,0.0013045756797813938,382
FrameSCF_Mean,0.0012762121740647959,0.0013930076148437906,383
FrameSR_Hist8,0.0012716679003503526,0.0010577821265103555,384
FrameHNR_Hist8,0.001270068690531207,0.0024121472601200734,385
FrameAC_Hist8,0.0012677810703942605,0.0011882360398520844,386
FrameF0_Hist5,0.0012676894442621913,0.0012331274352611367,387
FrameSFlux_Hist8,0.0012669891185066538,0.0010314098556190225,388
FrameSFlux_Median,0.0012634129700340112,0.0010888737366254655,389
GlobalBandwidth,0.0012603010655055015,0.001134952927167853,390
FrameSE_Kurt,0.0012584998280245965,0.0011150159233409274,391
FrameSF_Skew,0.0012522462916277437,0.0012629497132868321,392
FrameGNE_Hist4,0.001245425198055663,0.0011595275293964586,393
FrameSF_Hist4,0.0012447624978176668,0.0011827241438363795,394
FrameHNR_Hist7,0.0012367551962267995,0.001590806980921544,395
FrameSE_Hist9,0.0012354674737678096,0.0013532700022487957,396
FrameGNE_Hist3,0.0012337778204422685,0.001276569271814514,397
FrameE_Hist1,0.0012306773181516885,0.003704932924416861,398
FrameGNE_Mean,0.0012302290912999923,0.0011167980831712741,399
FrameGNE_IQR,0.0012201664184351368,0.001150324695867913,400
FrameGNE_Hist5,0.001212906007585944,0.0011141041688415817,401
FrameSR_Kurt,0.0012104468552427202,0.0012803447961500475,402
FrameSR_Median,0.0011921338978501989,0.0013530861027583106,403
FrameZCR_Mean,0.0011877640522297442,0.0011648369389829602,404
FrameZCR_Kurt,0.0011842691223853397,0.0010144686420951777,405
FrameSF_IQR,0.0011699125712765217,0.001076670421455666,406
FrameF0_Hist4,0.0011557108459274682,0.0010003069006104222,407
FrameGNE_Hist9,0.001154188264229636,0.0009895252461487817,408
SpectralCentroid,0.0011532307095356326,0.0009963061032806945,409
LPCResidualEnergy,0.0011520320150817168,0.000991343909197935,410
NoiseStationarity,0.0011519604263428823,0.002795361473997132,411
FrameSR_Hist9,0.0011500312008345345,0.0011673826126777941,412
